CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full Name,Domain Name,Parent,Customer Priority,Income Level,Education Category,Full Name (cc),Birth Year
17235,Mr.,Joshua,Jackson,"Sunday, October 13, 1974",S,M,joshua13@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Joshua Jackson,Adventure Works,No,Standard,Average,Undergrad,Mr. Joshua Jackson,1974
17297,Mr.,Tommy,Kumar,"Saturday, April 27, 1968",S,M,tommy4@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Tommy Kumar,Adventure Works,No,Standard,Average,Undergrad,Mr. Tommy Kumar,1968
17298,Mr.,Lucas,Peterson,"Thursday, May 16, 1968",S,M,lucas77@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Lucas Peterson,Adventure Works,No,Standard,Average,Undergrad,Mr. Lucas Peterson,1968
17300,Mr.,Ivan,Sai,"Wednesday, January 20, 1965",S,M,ivan4@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ivan Sai,Adventure Works,No,Standard,Average,Undergrad,Mr. Ivan Sai,1965
17320,Mr.,Alan,Zhu,"Thursday, September 24, 1964",S,M,alan17@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Alan Zhu,Adventure Works,No,Standard,Average,Undergrad,Mr. Alan Zhu,1964
17322,Mr.,Derek,Beck,"Wednesday, May 20, 1964",S,M,derek18@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Derek Beck,Adventure Works,No,Standard,Average,Undergrad,Mr. Derek Beck,1964
17623,Mr.,Austin,Robinson,"Monday, March 18, 1968",S,M,austin34@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Austin Robinson,Adventure Works,No,Standard,Average,Undergrad,Mr. Austin Robinson,1968
18292,Mr.,Louis,Tang,"Sunday, August 9, 1964",S,M,louis21@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Louis Tang,Adventure Works,No,Standard,Average,Undergrad,Mr. Louis Tang,1964
18613,Mr.,Cody,Murphy,"Thursday, November 14, 1968",S,M,cody15@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Cody Murphy,Adventure Works,No,Standard,Average,Undergrad,Mr. Cody Murphy,1968
18614,Mr.,Seth,Wright,"Wednesday, May 15, 1968",S,M,seth28@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Seth Wright,Adventure Works,No,Standard,Average,Undergrad,Mr. Seth Wright,1968
18733,Mr.,Rafael,Gao,"Saturday, October 23, 1965",S,M,rafael16@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Rafael Gao,Adventure Works,No,Standard,Average,Undergrad,Mr. Rafael Gao,1965
19083,Mr.,Steven,Rivera,"Monday, February 10, 1975",S,M,steven26@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Steven Rivera,Adventure Works,No,Standard,Average,Undergrad,Mr. Steven Rivera,1975
19168,Mr.,Nathan,Kumar,"Saturday, October 19, 1963",S,M,nathan25@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Nathan Kumar,Adventure Works,No,Standard,Average,Undergrad,Mr. Nathan Kumar,1963
19584,Mr.,Terrance,Sanchez,"Wednesday, May 8, 1968",S,M,terrance18@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Terrance Sanchez,Adventure Works,No,Standard,Average,Undergrad,Mr. Terrance Sanchez,1968
19591,Mr.,Derek,Raji,"Tuesday, March 3, 1964",S,M,derek19@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Derek Raji,Adventure Works,No,Standard,Average,Undergrad,Mr. Derek Raji,1964
19595,Mr.,Carl,Raji,"Saturday, March 16, 1963",S,M,carl20@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Carl Raji,Adventure Works,No,Standard,Average,Undergrad,Mr. Carl Raji,1963
19596,Mr.,Allen,Fernandez,"Saturday, May 11, 1963",S,M,allen14@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Allen Fernandez,Adventure Works,No,Standard,Average,Undergrad,Mr. Allen Fernandez,1963
19612,Mr.,Marvin,Sanz,"Tuesday, February 26, 1963",S,M,marvin20@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Marvin Sanz,Adventure Works,No,Standard,Average,Undergrad,Mr. Marvin Sanz,1963
19613,Mr.,Ruben,Garcia,"Friday, September 20, 1963",S,M,ruben16@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ruben Garcia,Adventure Works,No,Standard,Average,Undergrad,Mr. Ruben Garcia,1963
19614,Mr.,Wyatt,Williams,"Sunday, August 4, 1963",S,M,wyatt2@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Wyatt Williams,Adventure Works,No,Standard,Average,Undergrad,Mr. Wyatt Williams,1963
19947,Mr.,Darryl,Liu,"Monday, May 26, 1975",S,M,darryl4@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Darryl Liu,Adventure Works,No,Standard,Average,Undergrad,Mr. Darryl Liu,1975
20231,Mr.,Kelvin,Zhou,"Tuesday, February 9, 1965",S,M,kelvin28@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Kelvin Zhou,Adventure Works,No,Standard,Average,Undergrad,Mr. Kelvin Zhou,1965
20256,Mr.,Javier,Serrano,"Monday, May 4, 1964",S,M,javier11@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Javier Serrano,Adventure Works,No,Standard,Average,Undergrad,Mr. Javier Serrano,1964
20257,Mr.,Roy,Carlson,"Saturday, July 25, 1964",S,M,roy38@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Roy Carlson,Adventure Works,No,Standard,Average,Undergrad,Mr. Roy Carlson,1964
20600,Mr.,Dennis,Hu,"Tuesday, January 28, 1975",S,M,dennis22@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Dennis Hu,Adventure Works,No,Standard,Average,Undergrad,Mr. Dennis Hu,1975
20602,Mr.,Casey,Moreno,"Friday, August 27, 1976",S,M,casey30@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Casey Moreno,Adventure Works,No,Standard,Average,Undergrad,Mr. Casey Moreno,1976
21184,Mr.,Harold,Rodriguez,"Saturday, August 17, 1968",S,M,harold16@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Harold Rodriguez,Adventure Works,No,Standard,Average,Undergrad,Mr. Harold Rodriguez,1968
21186,Mr.,Randall,Vazquez,"Thursday, February 4, 1965",S,M,randall16@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Randall Vazquez,Adventure Works,No,Standard,Average,Undergrad,Mr. Randall Vazquez,1965
21190,Mr.,Pablo,Rovira Diez,"Saturday, February 23, 1963",S,M,pablo0@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Pablo Rovira Diez,Adventure Works,No,Standard,Average,Undergrad,Mr. Pablo Rovira Diez,1963
21209,Mr.,Randall,Moreno,"Saturday, June 19, 1965",S,M,randall7@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Randall Moreno,Adventure Works,No,Standard,Average,Undergrad,Mr. Randall Moreno,1965
21212,Mr.,Nicolas,Lal,"Monday, November 23, 1964",S,M,nicolas6@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Nicolas Lal,Adventure Works,No,Standard,Average,Undergrad,Mr. Nicolas Lal,1964
21213,Mr.,Peter,Black,"Monday, November 16, 1964",S,M,peter25@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Peter Black,Adventure Works,No,Standard,Average,Undergrad,Mr. Peter Black,1964
21218,Mr.,Wyatt,Rodriguez,"Thursday, June 13, 1963",S,M,wyatt21@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Wyatt Rodriguez,Adventure Works,No,Standard,Average,Undergrad,Mr. Wyatt Rodriguez,1963
21875,Mr.,Cedric,Nara,"Tuesday, August 17, 1976",S,M,cedric35@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Cedric Nara,Adventure Works,No,Standard,Average,Undergrad,Mr. Cedric Nara,1976
21876,Mr.,Philip,Rubio,"Monday, April 26, 1976",S,M,philip20@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Philip Rubio,Adventure Works,No,Standard,Average,Undergrad,Mr. Philip Rubio,1976
21968,Mr.,Jaime,Deng,"Sunday, August 4, 1968",S,M,jaime25@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Jaime Deng,Adventure Works,No,Standard,Average,Undergrad,Mr. Jaime Deng,1968
21977,Mr.,Phillip,Malhotra,"Sunday, July 21, 1963",S,M,phillip5@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Phillip Malhotra,Adventure Works,No,Standard,Average,Undergrad,Mr. Phillip Malhotra,1963
22298,Mr.,Marcus,Williams,"Saturday, April 20, 1968",S,M,marcus2@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Marcus Williams,Adventure Works,No,Standard,Average,Undergrad,Mr. Marcus Williams,1968
22948,Mr.,Lucas,Turner,"Saturday, July 4, 1964",S,M,lucas6@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Lucas Turner,Adventure Works,No,Standard,Average,Undergrad,Mr. Lucas Turner,1964
22954,Mr.,Justin,Thompson,"Monday, March 4, 1963",S,M,justin43@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Justin Thompson,Adventure Works,No,Standard,Average,Undergrad,Mr. Justin Thompson,1963
23212,Mr.,James,Jones,"Tuesday, April 16, 1968",S,M,james78@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. James Jones,Adventure Works,No,Standard,Average,Undergrad,Mr. James Jones,1968
23213,Mr.,Noah,Green,"Thursday, February 15, 1968",S,M,noah40@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Noah Green,Adventure Works,No,Standard,Average,Undergrad,Mr. Noah Green,1968
23439,Mr.,Ramon,Hu,"Monday, July 19, 1965",S,M,ramon18@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ramon Hu,Adventure Works,No,Standard,Average,Undergrad,Mr. Ramon Hu,1965
23538,Mr.,Carlos,Evans,"Wednesday, July 17, 1963",S,M,carlos26@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Carlos Evans,Adventure Works,No,Standard,Average,Undergrad,Mr. Carlos Evans,1963
24331,Mr.,Carson,Powell,"Friday, August 9, 1968",S,M,carson7@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Carson Powell,Adventure Works,No,Standard,Average,Undergrad,Mr. Carson Powell,1968
24377,Mr.,Richard,Wood,"Tuesday, September 24, 1968",S,M,richard58@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Richard Wood,Adventure Works,No,Standard,Average,Undergrad,Mr. Richard Wood,1968
24379,Mr.,Noah,Jenkins,"Wednesday, June 23, 1965",S,M,noah3@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Noah Jenkins,Adventure Works,No,Standard,Average,Undergrad,Mr. Noah Jenkins,1965
24471,Mr.,Ricardo,Chande,"Wednesday, June 3, 1964",S,M,ricardo15@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ricardo Chande,Adventure Works,No,Standard,Average,Undergrad,Mr. Ricardo Chande,1964
24472,Mr.,Jake,He,"Friday, October 23, 1964",S,M,jake16@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Jake He,Adventure Works,No,Standard,Average,Undergrad,Mr. Jake He,1964
24473,Mr.,Marco,Rana,"Thursday, March 26, 1964",S,M,marco12@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Marco Rana,Adventure Works,No,Standard,Average,Undergrad,Mr. Marco Rana,1964
24475,Mr.,Gilbert,Zhou,"Saturday, June 15, 1963",S,M,gilbert6@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Gilbert Zhou,Adventure Works,No,Standard,Average,Undergrad,Mr. Gilbert Zhou,1963
24591,Mr.,Derek,Pal,"Saturday, May 11, 1974",S,M,derek11@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Derek Pal,Adventure Works,No,Standard,Average,Undergrad,Mr. Derek Pal,1974
24887,Mr.,Micah,Sun,"Monday, May 5, 1975",S,M,micah0@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Micah Sun,Adventure Works,No,Standard,Average,Undergrad,Mr. Micah Sun,1975
24888,Mr.,Roy,Srini,"Saturday, January 11, 1975",S,M,roy9@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Roy Srini,Adventure Works,No,Standard,Average,Undergrad,Mr. Roy Srini,1975
24892,Mr.,Arthur,Alvarez,"Thursday, April 24, 1975",S,M,arthur28@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Arthur Alvarez,Adventure Works,No,Standard,Average,Undergrad,Mr. Arthur Alvarez,1975
24894,Mr.,Jaime,Jai,"Thursday, April 25, 1974",S,M,jaime33@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Jaime Jai,Adventure Works,No,Standard,Average,Undergrad,Mr. Jaime Jai,1974
25214,Mr.,Roger,Chander,"Monday, February 4, 1963",S,M,roger43@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Roger Chander,Adventure Works,No,Standard,Average,Undergrad,Mr. Roger Chander,1963
25811,Mr.,Miguel,Wright,"Monday, July 26, 1976",S,M,miguel28@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Miguel Wright,Adventure Works,No,Standard,Average,Undergrad,Mr. Miguel Wright,1976
25976,Mr.,Hunter,Coleman,"Wednesday, April 17, 1968",S,M,hunter2@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Hunter Coleman,Adventure Works,No,Standard,Average,Undergrad,Mr. Hunter Coleman,1968
26605,Mr.,Brandon,Foster,"Wednesday, February 27, 1963",S,M,brandon13@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Brandon Foster,Adventure Works,No,Standard,Average,Undergrad,Mr. Brandon Foster,1963
27148,Mr.,Edwin,Zhu,"Tuesday, December 21, 1965",S,M,edwin15@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Edwin Zhu,Adventure Works,No,Standard,Average,Undergrad,Mr. Edwin Zhu,1965
27539,Mr.,Samuel,Winston,"Tuesday, July 9, 1968",S,M,samuel69@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Samuel Winston,Adventure Works,No,Standard,Average,Undergrad,Mr. Samuel Winston,1968
27709,Mr.,Clifford,Lopez,"Saturday, April 13, 1963",S,M,clifford15@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Clifford Lopez,Adventure Works,No,Standard,Average,Undergrad,Mr. Clifford Lopez,1963
27710,Mr.,Sean,Bailey,"Friday, June 21, 1963",S,M,sean23@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Sean Bailey,Adventure Works,No,Standard,Average,Undergrad,Mr. Sean Bailey,1963
28322,Mr.,Willie,Chen,"Thursday, January 23, 1964",S,M,willie3@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Willie Chen,Adventure Works,No,Standard,Average,Undergrad,Mr. Willie Chen,1964
28323,Mr.,Nathan,Moore,"Sunday, June 2, 1963",S,M,nathan66@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Nathan Moore,Adventure Works,No,Standard,Average,Undergrad,Mr. Nathan Moore,1963
28719,Mr.,Neil,Vazquez,"Thursday, April 18, 1968",S,M,neil13@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Neil Vazquez,Adventure Works,No,Standard,Average,Undergrad,Mr. Neil Vazquez,1968
28923,Mr.,Roberto,Hernandez,"Thursday, August 7, 1975",S,M,roberto3@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Roberto Hernandez,Adventure Works,No,Standard,Average,Undergrad,Mr. Roberto Hernandez,1975
28926,Mr.,Danny,Schmidt,"Saturday, May 15, 1976",S,M,danny21@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Danny Schmidt,Adventure Works,No,Standard,Average,Undergrad,Mr. Danny Schmidt,1976
29300,Mr.,Joe,Madan,"Wednesday, October 27, 1965",S,M,joe10@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Joe Madan,Adventure Works,No,Standard,Average,Undergrad,Mr. Joe Madan,1965
29306,Mr.,Rafael,Anand,"Friday, August 16, 1963",S,M,rafael46@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Rafael Anand,Adventure Works,No,Standard,Average,Undergrad,Mr. Rafael Anand,1963
29307,Mr.,Ross,Malhotra,"Tuesday, March 5, 1963",S,M,ross4@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ross Malhotra,Adventure Works,No,Standard,Average,Undergrad,Mr. Ross Malhotra,1963
29308,Mr.,Phillip,Vance,"Saturday, July 13, 1963",S,M,phillip4@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Phillip Vance,Adventure Works,No,Standard,Average,Undergrad,Mr. Phillip Vance,1963
29310,Mr.,Armando,Gutierrez,"Wednesday, October 23, 1963",S,M,armando11@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Armando Gutierrez,Adventure Works,No,Standard,Average,Undergrad,Mr. Armando Gutierrez,1963
11005,Mr.,Julio,Ruiz,"Thursday, August 5, 1965",S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Julio Ruiz,Adventure Works,No,Standard,Average,Undergrad,Mr. Julio Ruiz,1965
11915,Mr.,Philip,Carlson,"Saturday, March 16, 1968",S,M,philip17@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Philip Carlson,Adventure Works,No,Standard,Average,Undergrad,Mr. Philip Carlson,1968
11917,Mr.,Roy,Sanz,"Friday, October 22, 1965",S,M,roy40@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Roy Sanz,Adventure Works,No,Standard,Average,Undergrad,Mr. Roy Sanz,1965
11986,Mr.,Max,Alvarez,"Wednesday, July 24, 1963",S,M,max5@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Max Alvarez,Adventure Works,No,Standard,Average,Undergrad,Mr. Max Alvarez,1963
14065,Mr.,Samuel,Diaz,"Saturday, July 27, 1963",S,M,samuel21@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Samuel Diaz,Adventure Works,No,Standard,Average,Undergrad,Mr. Samuel Diaz,1963
15123,Mr.,Sergio,Lopez,"Friday, September 26, 1975",S,M,sergio17@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Sergio Lopez,Adventure Works,No,Standard,Average,Undergrad,Mr. Sergio Lopez,1975
15218,Mr.,Willie,Johnsen,"Monday, September 6, 1965",S,M,willie30@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Willie Johnsen,Adventure Works,No,Standard,Average,Undergrad,Mr. Willie Johnsen,1965
15227,Mr.,Harold,Malhotra,"Saturday, June 15, 1963",S,M,harold2@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Harold Malhotra,Adventure Works,No,Standard,Average,Undergrad,Mr. Harold Malhotra,1963
16116,Mr.,Begoña,Hurtado,"Thursday, June 6, 1968",S,M,begoña0@adventure-works.com,70000,0,Bachelors,Professional,Y,Mr. Begoña Hurtado,Adventure Works,No,Standard,Average,Undergrad,Mr. Begoña Hurtado,1968
